diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
CMS_PU_2016                                   ! +0.00, 0.12!     ! +0.00, 0.38!       +0.07
CMS_ak4jet_jer_2016                           ! +0.00, 0.04!     ! +0.00, 0.17!       +0.02
CMS_ak4jet_jesAbsolute                        ! +0.00, 0.06!     ! -0.00, 0.34!       -0.02
CMS_ak4jet_jesAbsolute_2016                   ! +0.00, 0.05!     ! -0.00, 0.28!       -0.00
CMS_ak4jet_jesBBEC1                           ! +0.00, 0.23!     ! +0.00, 0.44!       +0.05
CMS_ak4jet_jesBBEC1_2016                      ! +0.00, 0.13!     ! +0.00, 0.39!       +0.03
CMS_ak4jet_jesEC2                             ! +0.00, 0.21!        +0.00, 0.63       +0.01
CMS_ak4jet_jesEC2_2016                        ! +0.00, 0.14!        +0.00, 0.51       +0.04
CMS_ak4jet_jesFlavorQCD                       ! +0.00, 0.03!     ! -0.00, 0.26!       +0.00
CMS_ak4jet_jesHF                              ! +0.00, 0.18!        -0.00, 0.52       -0.05
CMS_ak4jet_jesHF_2016                         ! +0.00, 0.30!        +0.00, 0.75       +0.01
CMS_ak4jet_jesRelativeBal                     ! +0.00, 0.08!     ! +0.00, 0.29!       +0.06
CMS_ak4jet_jesRelativeSample_2016             ! +0.00, 0.07!     ! +0.00, 0.22!       +0.06
CMS_ak8jet_jer_2016                           ! +0.00, 0.19!     ! +0.00, 0.40!       +0.01
CMS_ak8jet_jesAbsolute                        ! +0.00, 0.41!        -0.00, 0.68       -0.00
CMS_ak8jet_jesAbsolute_2016                   ! +0.00, 0.22!        +0.00, 0.53       +0.04
CMS_ak8jet_jesBBEC1                           ! +0.00, 3.18!        -0.00, 0.84       -0.03
CMS_ak8jet_jesBBEC1_2016                         +0.00, 0.62        -0.00, 0.92       -0.00
CMS_ak8jet_jesEC2                                +0.00, 0.68        +0.00, 0.98       -0.00
CMS_ak8jet_jesEC2_2016                           +0.00, 0.68        +0.00, 0.98       -0.00
CMS_ak8jet_jesFlavorQCD                       ! +0.00, 1.50!        -0.00, 0.68       -0.01
CMS_ak8jet_jesHF                                 +0.00, 0.68        -0.00, 0.98       -0.00
CMS_ak8jet_jesHF_2016                            +0.00, 0.68        -0.00, 0.98       -0.00
CMS_ak8jet_jesRelativeBal                     ! +0.00, 0.39!        -0.00, 0.74       +0.00
CMS_ak8jet_jesRelativeSample_2016             ! +0.00, 0.33!        +0.00, 0.62       +0.01
CMS_ak8jet_jmr_2016                           ! +0.00, 0.23!        +0.00, 0.53       +0.13
CMS_ak8jet_jms_2016                              +0.00, 0.54        -0.00, 0.90       -0.00
CMS_btag_cferr1                               ! +0.00, 0.07!        -0.00, 0.53       -0.05
CMS_btag_cferr2                               ! +0.00, 0.11!        -0.00, 0.73       -0.04
CMS_btag_hf                                   ! +0.00, 0.18!        -0.00, 0.79       -0.08
CMS_btag_hfstats1_2016                        ! +0.00, 0.31!        -0.00, 0.94       -0.05
CMS_btag_hfstats2_2016                           +0.00, 0.64        -0.00, 0.97       -0.02
CMS_btag_lf                                   ! +0.00, 0.09!        +0.00, 0.61       +0.39
CMS_btag_lfstats1_2016                           +0.00, 0.66        +0.00, 0.98       +0.00
CMS_btag_lfstats2_2016                        ! +0.00, 0.34!        -0.00, 0.94       -0.03
CMS_eff_Wtag_2016                             ! +0.00, 0.08!        +0.00, 0.54       +0.07
